MONTH,YEAR,STATE,TYPE,MIN,AVG,MAX
"09","2019","ES","DIESEL S10",3.29,3.6806544117647055,4.44
"11","2018","MS","DIESEL S10",3.549,3.802174061433447,4.19
"01","2019","MS","DIESEL S10",3.199,3.610013477088949,3.922
"12","2019","MT","DIESEL",3.43,4.03654233409611,4.539
"10","2018","PE","ETANOL",2.86,3.339399494310999,3.887
"07","2017","AM","DIESEL S10",2.94,3.3519822485207103,3.98
"06","2016","BA","GASOLINA",3.269,3.740352777777778,4.299
"08","2018","AM","DIESEL",3.17,3.449983240223464,3.75
"10","2018","PA","ETANOL",3.29,3.8610700000000002,4.65
"01","2018","MG","GASOLINA",3.799,4.458881650380022,5.009
"11","2017","MG","GASOLINA",3.54,4.162311855670103,4.777
"03","2019","MS","GNV",2.898,2.975181818181818,3.049
"03","2019","MA","ETANOL",3.159,3.6747738095238094,4.25
"05","2020","GO","DIESEL",2.59,3.0384973730297724,3.859
"01","2020","PI","GASOLINA",4.371,4.673152941176471,4.98
"10","2020","SC","ETANOL",3.199,3.666139534883721,4.499
"09","2017","AM","GNV",2.85,2.85,2.85
"01","2020","MT","DIESEL S10",3.599,4.139027027027026,4.67
"06","2017","SP","DIESEL S10",2.649,3.049247325361863,3.599
"11","2019","AC","ETANOL",3.66,3.955283783783784,4.59
"08","2018","RN","DIESEL",3.289,3.3954736842105264,3.61
"06","2016","SC","GASOLINA",3.08,3.44579580674567,4.074
"12","2019","AL","GASOLINA",4.19,4.621590909090909,5.11
"12","2019","MS","DIESEL",3.489,3.8133049645390074,4.099
"11","2018","MT","DIESEL S10",3.555,4.085173380035027,4.66
"01","2019","MT","DIESEL S10",3.539,3.9476149068322983,4.499
"08","2018","AL","DIESEL",3.23,3.519984210526316,3.849
"10","2018","PB","ETANOL",2.899,3.25268992248062,3.799
"10","2019","SE","ETANOL",3.15,3.4209324324324326,3.799
"08","2017","CE","GASOLINA",3.489,3.9392153110047845,4.34
"05","2019","GO","DIESEL",3.389,3.679358695652174,4.09
"06","2018","ES","DIESEL S10",3.09,3.429624203821656,3.89
"03","2020","MA","ETANOL",3.58,3.8457459677419354,4.4
"12","2019","RN","GASOLINA",4.35,4.743409677419355,4.999
"01","2020","MS","DIESEL S10",3.569,3.9531778523489933,4.339
"04","2016","RN","DIESEL S10",3.219,3.315258426966292,3.399
"11","2020","AC","ETANOL",3.8,3.9635200000000004,4.249
"05","2017","RJ","DIESEL",2.799,3.1386932849364793,3.699
"08","2017","SP","GNV",1.899,2.278368794326241,2.699
"07","2016","MG","DIESEL",2.769,3.0124260820685778,3.49
"12","2019","AM","GASOLINA",3.85,4.360790633608816,5.35
"04","2016","AL","DIESEL S10",2.95,3.1551655629139073,3.42
"11","2016","GO","DIESEL S10",2.939,3.1875243243243245,3.49
"01","2017","GO","DIESEL S10",2.989,3.3165510597302506,3.71
"03","2020","MS","GNV",3.169,3.2352,3.355
"09","2018","AM","DIESEL",3.34,3.738132530120482,4.25
"06","2020","GO","DIESEL",2.73,3.045987915407855,3.96
"07","2016","BA","GASOLINA",3.25,3.799218773656321,4.299
"08","2018","SC","DIESEL S10",3.049,3.3361709786276714,3.732
"02","2018","MG","GASOLINA",3.899,4.500613015184382,5.009
"12","2017","MG","GASOLINA",3.599,4.2472089678511,4.779
"04","2019","MS","GNV",2.899,2.9648666666666665,3.049
