UF;MUNICIPIO;TIPO VEICULO;QUANTIDADE
AL;ATALAIA;TRATOR ESTEI;0
AL;ATALAIA;TRATOR RODAS;0
AL;ATALAIA;TRICICLO;2
AL;ATALAIA;UTILITARIO;42
AL;BARRA DE SANTO ANTONIO;AUTOMOVEL;1182
AL;BARRA DE SANTO ANTONIO;BONDE;0
AL;BARRA DE SANTO ANTONIO;CAMINHAO;33
AL;BARRA DE SANTO ANTONIO;CAMINHAO TRATOR;3
AL;BARRA DE SANTO ANTONIO;CAMINHONETE;142
AL;BARRA DE SANTO ANTONIO;CAMIONETA;57
AL;BARRA DE SANTO ANTONIO;CHASSI PLATAF;0
AL;BARRA DE SANTO ANTONIO;CICLOMOTOR;206
AL;BARRA DE SANTO ANTONIO;MICRO-ONIBUS;10
AL;BARRA DE SANTO ANTONIO;MOTOCICLETA;940
AL;BARRA DE SANTO ANTONIO;MOTONETA;77
AL;BARRA DE SANTO ANTONIO;ONIBUS;32
AL;BARRA DE SANTO ANTONIO;QUADRICICLO;0
AL;BARRA DE SANTO ANTONIO;REBOQUE;64
AL;BARRA DE SANTO ANTONIO;SEMI-REBOQUE;18
AL;BARRA DE SANTO ANTONIO;SIDE-CAR;0
AL;BARRA DE SANTO ANTONIO;OUTROS;16
AL;BARRA DE SANTO ANTONIO;TRATOR ESTEI;0
AL;BARRA DE SANTO ANTONIO;TRATOR RODAS;0
AL;BARRA DE SANTO ANTONIO;TRICICLO;0
AL;BARRA DE SANTO ANTONIO;UTILITARIO;14
AL;BARRA DE SAO MIGUEL;AUTOMOVEL;1020
AL;BARRA DE SAO MIGUEL;BONDE;0
AL;BARRA DE SAO MIGUEL;CAMINHAO;23
AL;BARRA DE SAO MIGUEL;CAMINHAO TRATOR;1
